Season,DateTime,HomeTeam,AwayTeam,FTR,HomeTeam_WinPercentage,HomeTeam_DrawPercentage,AwayTeam_WinPercentage,AwayTeam_DrawPercentage,HomeTeam_Streak,AwayTeam_Streak,HomeTeam_AvgGoal,AwayTeam_AvgGoal,HomeTeam_AvgGoalDiff,AwayTeam_AvgGoalDiff,HomeTeam_AvgShotOnTarget,AwayTeam_AvgShotOnTarget,HomeTeam_AvgShotBlock,AwayTeam_AvgShotBlock,HomeTeam_AvgCorners,AwayTeam_AvgCorners,HomeTeam_AvgRedCards,AwayTeam_AvgRedCards,HomeTeam_AvgYellowCards,AwayTeam_AvgYellowCards,HomeTeam_H2H_Wins,AwayTeam_H2H_Wins,HomeTeam_Last_Season,AwayTeam_Last_Season
2013-14,2013-08-17 00:00:00+00:00,Arsenal,Aston Villa,A,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5526315789473685,0.2631578947368421
2013-14,2013-08-17 00:00:00+00:00,Liverpool,Stoke,H,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.5,0.4210526315789473,0.2368421052631578
2013-14,2013-08-17 00:00:00+00:00,Norwich,Everton,D,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2631578947368421,0.4210526315789473
2013-14,2013-08-17 00:00:00+00:00,Sunderland,Fulham,A,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2368421052631578,0.2894736842105263
2013-14,2013-08-17 00:00:00+00:00,Swansea,Man United,A,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.2894736842105263,0.7368421052631579
2013-14,2013-08-17 00:00:00+00:00,West Brom,Southampton,A,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,3.5,0.3684210526315789,0.2368421052631578
2013-14,2013-08-17 00:00:00+00:00,West Ham,Cardiff,H,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3157894736842105,0.0
2013-14,2013-08-18 00:00:00+00:00,Chelsea,Hull,H,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5789473684210527,0.0
2013-14,2013-08-18 00:00:00+00:00,Crystal Palace,Tottenham,A,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.5526315789473685
2013-14,2013-08-19 00:00:00+00:00,Man City,Newcastle,H,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.6052631578947368,0.2894736842105263
